zip_code,year,month,subsidy_total_cost,subsidy_total_kw,subsidy_total_paid,subsidy_count
94533,2015.00,Nov,15749.03,3.73,11193.00,1
94572,2015.00,Nov,18293.39,3.73,11190.00,1
94601,2015.00,Nov,13250.39,1.86,5595.00,1
94621,2015.00,Nov,14981.26,2.29,6870.00,1
94801,2015.00,Nov,63630.33,10.84,32508.00,5
94803,2015.00,Nov,29820.33,6.76,20283.00,2
94805,2015.00,Nov,11760.90,2.33,6993.00,1
95012,2015.00,Nov,10880.16,2.04,6129.00,1
95121,2015.00,Nov,13753.58,3.03,9093.00,1
95470,2015.00,Nov,16871.75,4.18,16871.75,1
95482,2015.00,Nov,13821.42,3.18,9534.00,1
95492,2015.00,Nov,11836.74,2.80,8394.00,1
95519,2015.00,Nov,12766.40,2.56,7671.00,1
95521,2015.00,Nov,13135.43,2.72,8172.00,1
95551,2015.00,Nov,14661.17,3.73,14661.17,1
95926,2015.00,Nov,49330.20,11.09,33270.00,3
95928,2015.00,Nov,14519.82,3.18,9534.00,1
95961,2015.00,Nov,17560.52,3.97,11907.00,1
95963,2015.00,Nov,39274.91,7.93,23778.00,3
95966,2015.00,Nov,12413.59,2.10,6294.00,1
96007,2015.00,Nov,15217.91,3.26,9792.00,1
96080,2015.00,Nov,85049.94,17.59,52758.00,5
90001,2015.00,Dec,7797.69,1.17,5435.19,1
90221,2015.00,Dec,20982.92,3.49,14174.65,1
90222,2015.00,Dec,22770.34,3.84,15184.09,1
90262,2015.00,Dec,32941.50,4.14,24541.50,2
90280,2015.00,Dec,32936.84,4.97,28124.34,2
90805,2015.00,Dec,47784.09,6.82,34072.84,3
90806,2015.00,Dec,21393.64,3.27,14831.14,1
91911,2015.00,Dec,14209.48,2.67,8022.00,1
92114,2015.00,Dec,19905.56,3.71,11133.00,1
92240,2015.00,Dec,22473.07,4.90,22473.07,1
92311,2015.00,Dec,16927.85,3.03,10899.10,1
92345,2015.00,Dec,18633.60,4.15,18633.60,1
92376,2015.00,Dec,51158.62,11.14,32483.36,3
92395,2015.00,Dec,16827.00,3.03,16827.00,1
92401,2015.00,Dec,21392.22,3.93,13517.22,1
92405,2015.00,Dec,10422.86,1.17,7579.00,1
92407,2015.00,Dec,21522.80,4.24,13017.80,1
92606,2015.00,Dec,15116.28,2.00,14035.00,1
92701,2015.00,Dec,18278.22,3.84,18259.00,1
93215,2015.00,Dec,19552.05,3.37,12858.30,1
93221,2015.00,Dec,14969.85,3.32,8459.85,1
93223,2015.00,Dec,22081.50,4.47,13401.50,1
93227,2015.00,Dec,46150.58,9.34,27486.83,3
93247,2015.00,Dec,98230.16,19.23,62728.63,6
93257,2015.00,Dec,35685.04,6.88,35685.04,2
93274,2015.00,Dec,18287.17,3.71,10849.67,1
93291,2015.00,Dec,29478.73,5.95,17631.23,2
93313,2015.00,Dec,9805.31,1.71,6375.31,1
93444,2015.00,Dec,13953.49,3.20,9600.00,1
93514,2015.00,Dec,18114.60,2.90,17370.00,1
93638,2015.00,Dec,14790.48,3.18,9534.00,1
93722,2015.00,Dec,41347.82,9.56,25450.35,3
93725,2015.00,Dec,11757.33,2.27,6810.00,1
93905,2015.00,Dec,9834.88,1.71,5115.00,1
93927,2015.00,Dec,13639.86,3.03,9093.00,1
93960,2015.00,Dec,30156.79,5.86,17580.00,2
94303,2015.00,Dec,16148.71,3.96,11892.00,1
94509,2015.00,Dec,15829.60,3.71,11133.00,1
94601,2015.00,Dec,19657.06,3.96,11889.00,2
94608,2015.00,Dec,7375.67,1.40,4197.00,1
94804,2015.00,Dec,9627.56,1.63,4896.00,1
94931,2015.00,Dec,11545.38,2.10,6303.00,1
94965,2015.00,Dec,11297.62,2.33,6993.00,1
95121,2015.00,Dec,16674.11,3.47,16674.11,1
95437,2015.00,Dec,17703.56,3.73,17703.56,1
95482,2015.00,Dec,15016.32,3.50,10494.00,1
95501,2015.00,Dec,17581.89,3.73,11190.00,1
95961,2015.00,Dec,18165.29,3.96,11889.00,1
95963,2015.00,Dec,18913.55,3.96,11889.00,1
96080,2015.00,Dec,28994.74,5.83,17487.00,2
90201,2016.00,Jan,13770.68,3.06,7645.68,1
90221,2016.00,Jan,17538.64,2.84,11851.14,1
90247,2016.00,Jan,22493.85,3.96,14610.10,1
90304,2016.00,Jan,19816.22,2.89,14014.97,1
90606,2016.00,Jan,17058.81,3.06,14516.00,1
91910,2016.00,Jan,40568.41,8.61,25821.00,3
91911,2016.00,Jan,15182.07,2.77,8295.00,1
91945,2016.00,Jan,10771.76,1.85,5538.00,1
92104,2016.00,Jan,8093.81,1.17,3498.00,1
92113,2016.00,Jan,41890.17,7.82,23469.00,3
92114,2016.00,Jan,78825.46,14.51,43530.00,5
92234,2016.00,Jan,13470.23,2.80,13470.23,1
92240,2016.00,Jan,47676.25,10.72,47676.25,3
92311,2016.00,Jan,11551.76,2.04,11551.76,1
92363,2016.00,Jan,54339.92,10.49,54339.92,3
92374,2016.00,Jan,21036.44,4.66,11761.44,1
92394,2016.00,Jan,17259.16,3.96,17259.16,1
92404,2016.00,Jan,41810.26,8.63,33781.76,2
92407,2016.00,Jan,15630.02,3.50,15630.02,1
92410,2016.00,Jan,13087.45,2.56,7986.20,1
92543,2016.00,Jan,11232.57,2.10,11232.57,1
92570,2016.00,Jan,11102.16,3.96,11102.16,1
92571,2016.00,Jan,14347.83,3.26,14347.83,1
92585,2016.00,Jan,16087.99,3.73,16087.99,1
92592,2016.00,Jan,15432.84,2.56,15390.00,1
93223,2016.00,Jan,28975.80,5.00,19158.30,1
93230,2016.00,Jan,15461.23,3.27,8898.73,1
93247,2016.00,Jan,80192.35,16.57,49266.33,5
93256,2016.00,Jan,26160.75,4.70,19467.00,2
93257,2016.00,Jan,83541.41,15.78,64168.91,5
93270,2016.00,Jan,32467.05,6.68,19359.55,2
93274,2016.00,Jan,122046.02,24.98,72031.76,9
93286,2016.00,Jan,16289.70,3.32,9779.70,1
