ZIP,total_subsidy,total_kW,project_count,low_income_subsidy,low_income_kW,low_projects,equity_share
92260,12207010.91,15395.035,565,647416.64,725.0500000000001,9.0,0.05303645952094918
92261,499084.0,514.0,3,0.0,0.0,0.0,0.0
92262,9276613.0,14317.824,751,4502083.04,2629.29,14.0,0.4853153882780278
92263,2655.0,1.53,1,0.0,0.0,0.0,0.0
92264,4155684.16,7242.63,413,38782.0,418.12,2.0,0.009332278033372006
92266,63547.0,84.63,9,0.0,0.0,0.0,0.0
92268,34480.0,36.7,7,0.0,0.0,0.0,0.0
92270,7783228.78,10823.753,774,355395.0,385.25,2.0,0.045661641209009916
92276,1487.0,8.28,1,0.0,0.0,0.0,0.0
92277,695725.95,1528.369,193,244371.0,211.64,6.0,0.3512460617575067
92278,1252436.0,2572.85,2,0.0,0.0,0.0,0.0
92282,129705.09,66.966,13,84014.09,19.015,4.0,0.6477316348957469
92284,1008331.53,2168.597,255,408200.53,297.52,7.0,0.4048276959067223
92285,25267.0,71.41,12,6147.0,2.275,1.0,0.2432817509003839
92301,2719489.88,2487.8630000000003,61,521321.08,185.42499999999998,24.0,0.19169811361827904
92305,11786.0,9.52,3,0.0,0.0,0.0,0.0
92307,11246857.98,9073.863,688,1625279.87,688.7700000000001,9.0,0.14450968198319866
92308,5892918.2,5847.788,491,1372738.2,858.74,17.0,0.2329470991129658
92309,30202.0,43.28,3,23034.0,8.0,1.0,0.762664724190451
92310,2123107.0,3261.345,10,0.0,0.0,0.0,0.0
92311,11286050.18,10497.05,261,3959405.46,1521.8,62.0,0.35082295372179534
92312,18197.0,13.92,1,0.0,0.0,0.0,0.0
92313,265902.0,550.0360000000001,92,684031.0,514.585,5.0,2.5724928733142285
92314,6158.0,3.0,1,0.0,0.0,0.0,0.0
92316,525927.72,1209.279,63,221810.0,86.68,8.0,0.4217499697486948
92317,8276.0,5.6,1,0.0,0.0,0.0,0.0
92318,12750.0,19.607,2,8208.0,3.05,1.0,0.6437647058823529
92320,243743.4,439.051,61,0.0,0.0,0.0,0.0
92324,239345.0,337.986,46,10512.0,3.9,1.0,0.04391986463055422
92325,21318.0,33.6,7,0.0,0.0,0.0,0.0
92327,31800.0,168.28,3,0.0,0.0,0.0,0.0
